City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,krasnoshchekovo,51.6708,82.7289,290.63,85,87,2.31,RU,1689869256
294,xining,36.6167,101.7667,284.0,81,43,1.27,CN,1689869256
295,oral,51.2333,51.3667,297.14,35,0,5.0,KZ,1689869257
296,lewiston orchards,46.3804,-116.9754,303.3,37,0,0.0,US,1689869257
297,port alfred,-33.5906,26.891,283.25,73,63,5.16,ZA,1689869084
298,graham,47.0529,-122.2943,294.65,75,0,2.06,US,1689869257
299,san andres,12.5847,-81.7006,304.16,74,20,6.69,CO,1689869136
300,bestobe,52.4994,73.0975,296.81,48,82,4.14,KZ,1689869258
301,banda aceh,5.5577,95.3222,300.24,79,54,6.63,ID,1689869175
302,hirara,24.8,125.2833,301.39,75,88,4.2,JP,1689869258
303,paranaiba,-19.6772,-51.1908,304.36,33,1,4.41,BR,1689869258
304,walvis bay,-22.9575,14.5053,287.94,67,7,1.64,NA,1689869258
305,umm kaddadah,13.6017,26.6876,307.06,29,33,5.12,SD,1689869259
306,manbij,36.5281,37.9549,308.0,21,0,9.07,SY,1689869259
307,chilca,-12.5211,-76.7372,293.3,73,80,3.29,PE,1689869259
308,alo,7.4178,6.7371,301.77,80,91,3.49,NG,1689869259
309,franklin,39.9667,-83.0166,302.67,72,75,4.12,US,1689869264
310,aleg,17.0481,-13.9209,305.73,49,75,10.39,MR,1689869265
311,ola,59.5833,151.2833,286.09,89,52,0.83,RU,1689869265
312,flying fish cove,-10.4217,105.6791,296.97,83,75,5.66,CX,1689869145
313,nogliki,51.8333,143.1667,284.27,98,97,2.53,RU,1689869265
314,jamestown,42.097,-79.2353,300.94,54,20,4.12,US,1689868890
315,roma,43.2128,-75.4557,299.86,49,0,3.09,US,1689869170
316,motueka,-41.1333,173.0167,280.86,85,100,3.67,NZ,1689869036
317,mount gambier,-37.8333,140.7667,279.23,83,26,2.39,AU,1689869266
318,fortuna,40.5982,-124.1573,287.96,98,75,3.09,US,1689869137
319,ntchisi,-13.5278,33.9149,288.84,48,0,1.5,MW,1689869267
320,colchani,-20.3,-66.9333,283.19,19,2,2.72,BO,1689869267
321,kayangel,8.0823,134.7173,301.8,79,100,9.67,PW,1689869267
322,lesogorsk,56.0458,99.5136,288.73,67,0,1.2,RU,1689869267
323,necochea,-38.5473,-58.7368,285.05,60,98,7.66,AR,1689869268
324,poronaysk,49.2167,143.1167,287.34,98,100,1.6,RU,1689869268
325,remire-montjoly,4.9167,-52.2667,305.17,62,75,5.66,GF,1689869268
326,kralendijk,12.15,-68.2667,305.14,62,20,10.29,BQ,1689869268
327,byron bay,-28.65,153.6167,284.1,54,0,2.56,AU,1689868764
328,nurota,40.5614,65.6886,303.54,16,0,4.63,UZ,1689869269
329,kenai,60.5544,-151.2583,286.01,98,100,2.06,US,1689869269
330,phan rang-thap cham,11.5667,108.9833,299.38,85,17,1.71,VN,1689869269
331,rio grande,-32.035,-52.0986,292.21,83,90,7.09,BR,1689869010
332,coquimbo,-29.9533,-71.3436,289.0,82,75,6.69,CL,1689869256
333,tara,56.8944,74.371,290.22,94,99,2.14,RU,1689869270
334,aldan,58.6031,125.3894,282.83,97,100,1.06,RU,1689869270
335,acapulco de juarez,16.8634,-99.8901,304.05,70,20,2.06,MX,1689868985
336,brisas de zicatela,15.8369,-97.0419,305.44,58,40,3.09,MX,1689869270
337,imuris,30.7833,-110.8667,304.66,46,45,1.87,MX,1689869271
338,daru,-9.0763,143.2092,297.66,83,100,5.35,PG,1689869271
339,traverse city,44.7631,-85.6206,293.26,88,75,1.54,US,1689869046
340,santa elena de uairen,4.6167,-61.1333,300.25,54,18,4.01,VE,1689869186
341,vernal,40.4555,-109.5287,295.74,63,0,2.06,US,1689869049
342,selfoss,63.9331,-20.9971,292.62,69,96,4.66,IS,1689868974
343,tadine,-21.55,167.8833,292.17,69,3,6.21,NC,1689869201
